Website,Name,Price,Unprice,Sale,Promotion,Summary,Status,Brand,price_range,Type
https://philong.com.vn,"laptop msi katana 15 b13vek-252vn (i7-13620h, ram 8gb, ssd 512gb, màn hình 15.6inch fhd 144hz, vga 4050 6gb, win 11 bản quyền, bảo hành 24 tháng)",32450000,32450000 đ,0,"Khuyến mại: Vòng quay may mắn trúng phiếu mua hàng lên đến 500.000đ
Balo Chính Hãng MSI 
Trả góp lãi suất 0% áp dụng cho thẻ tín dụng Sacombank, VPbank.
Trả góp lãi suất ưu đãi áp dụng cho nhà tài chính HD Saison và ACS. Trả góp lãi suất uư đãi thông qua cổng MPOS áp dụng cho thẻ tín dụng: Citibank, Eximbank, HSBC, MSB, Techcombank, Nam Á, Shinhan bank, TP bank, Seabank, Kiên Long bank, OCB, VIB, ACB, MB, Vietcombank, SHB...","CPU: Intel Core i7-13620H (10 nhân/ 16 luồng, Up to 4.90 GHz, 24MB)
Ram: 8GB (1 x 8GB) DDR5 5200MHz( 2 khe)
Ổ cứng: 512GB NVMe PCIe Gen 4 SSD + 1x M.2 SSD slot (NVMe PCIe Gen4)
VGA: NVIDIA GeForce RTX 4050 6GB GDDR6
Màn hình: 15.6 inch FHD (1920*1080), 144Hz 45%NTSC IPS-Level
Windows 11 home SL 64bit bản quyền",1,msi,Above 20M,laptop
https://philong.com.vn,chuột apple magic mouse silver mk2e3za/a,1690000,2.390.000 đ,29,Không có,"Thiết kế mỏng nhẹ tạo cảm giác thoải mái khi sử dụng
Điều khiển cảm ứng thông minh trên bề mặt Multi-Touch
Kết nối không dây Bluetooth trong khoảng cách 10m
Độ phân giải đến 1600 DPI giúp rê chuột mượt mà hơn",1,apple,1M to 5M,chuột
https://philong.com.vn,router wifi 6 tplink archer ax53 gigabit băng tần kép ax3000,1690000,1690000 đ,0,Không có,"Wi-Fi 6 Gigabit thế hệ tiếp theo tốc độ — 2402 Mbps trên băng tần 5 GHz và 574 Mbps trên băng tần 2.4 GHz đảm bảo truyền trực tuyến mượt mà hơn và tải xuống nhanh hơn.
Kết nối nhiều thiết bị hơn — Công nghệ OFDMA tăng dung lượng lên 4 lần để cho phép truyền đồng thời đến nhiều thiết bị hơn..
Độ trễ cực thấp — Cho phép chơi game và trò chuyện video nhanh hơn.
Phạm vi phủ sóng Wi-Fi mở rộng — Bốn ăng-ten bên ngoài có độ lợi cao và công nghệ Beamforming kết hợp với nhau để mở rộng Wi-Fi mạnh mẽ, đáng tin cậy trong toàn bộ ngôi nhà của bạn.",0,tp-link,1M to 5M,router wifi 6 tplink archer ax53 gigabit băng tần kép ax3000
https://philong.com.vn,router wifi băng tầng kép ac1200 tp-link archer c64,790000,790000 đ,0,Không có,"Tốc độ WIFI WiFi Wave2 802.11ac– 867 Mbps trên băng tần 5 GHz và 400 Mbps trên băng tần 2.4 GHz
Kết nối tối đa 25 thiết bị
Cổng giao tiếp 1 x Cổng WAN Gigabit/ 4 x Cổng LAN Gigabit
Mô tả khác Kết Nối Thông Minh – Kết nối thông minh hướng máy khách đến băng tần ít tắc nghẽn hơn và Airtime Fairness tối ưu hóa việc sử dụng thời gian",1,tp-link,Under 1M,router wifi băng tầng kép ac1200
https://philong.com.vn,"máy in lazer ricoh mp 2014d (a3 2 mặt, scan, copy, duplex)",13900000,13900000 đ,0,Khuyến mại: Tặng Ổ cắm điện Pisen 005EP/PSCXB-01A trị giá 210.000 Đ,"Tốc độ in: 20 bản/phút, in 2 mặt tự động
Tốc độ scan: scan mặt phằng (Flatbed)
Kích cỡ giấy: A6 - A3
Khay giấy ra: 250 tờ
Khay giấy vào: Khay chính x 250 tờ, Khay tay x 100 tờ
Bộ nhớ tiêu chuẩn: 256 MB",1,ricoh,10M to 15M,máy in lazer
https://philong.com.vn,"laptop hp probook 440 g9 (6m0x2pa) (intel core i5-1235u, ram 8gb, ssd 256gb, màn hình 14 inch fhd,  win 11 bản quyền, màu bạc) hàng chính hãng, bảo hành 12 tháng",17990000,20.090.000 đ,10,"Khuyến mại: Chuột không dây yên tĩnh HP Z3700 trị giá 290.000đ
Túi xách Laptop Phi Long trị giá 350.000đ
Trả góp lãi suất 0% áp dụng cho thẻ tín dụng Sacombank, VPbank.
Trả góp lãi suất ưu đãi áp dụng cho nhà tài chính HD Saison và ACS. Trả góp lãi suất ưu đãi thông qua cổng MPOS áp dụng cho thẻ tín dụng: Citibank, Eximbank, HSBC, MSB, Techcombank, Nam Á, Shinhan bank, TP bank, Seabank, Kiên Long bank, OCB, VIB, ACB, MB, Vietcombank, SHB...","CPU: Intel Core i5-1235U (1.3Ghz up to 4.4GHz, 10 nhân/ 12 luồng)
RAM: 8GB (1 x 8GB) DDR4-3200MHz ( 2 khe)
Ổ cứng: 256 GB PCIe NVMe SSD
Intel UHD Graphics. (Intel Iris Xe Graphics with dual channel Ram)
Màn hình: 14inch FHD (1920 x 1080), IPS, 250 nits
Windows 11 home SL 64-bit",1,hp,15M to 20M,laptop
https://philong.com.vn,"bộ phát wifi totolink x2000r, băng tầng kép ax1500, wifi 6, 4 anten",990000,990000 đ,0,Không có,"Chuẩn Wi-Fi 6 (IEEE 802.11ax) thế hệ mới nhất, tốc độ Wi-Fi 1201Mbps trên 5GHz và 300Mbps trên 2.4GHz
Cổng nghệ OFDMA cải thiện băng thông và hiệu suất hoạt động hỗ trợ nhiều kết nối hơn.
Công nghệ MU-MIMO hỗ trợ nhiều thiết bị cùng lúc.
Công nghệ TWT (Target Wake) tiết kiệm điện năng cho user kết nối.
4 ăng-ten 5dBi phát sóng ở khoảng cách xa, ổn định, 5 cổng Gigabit cung cấp khả năng chuyển tiếp dữ liệu lớn qua kết nối cáp.
Hỗ trợ giao thức bảo mật WPA3 đảm bảo an ninh mạng.",1,totolink,Under 1M,bộ phát wifi
https://philong.com.vn,usb wifi 6 totolink x6100ua (băng tần kép ax1800),650000,650000 đ,0,Không có,"Tương thích chuẩn Wi-Fi IEEE 802.11a/b/g/n/ac/ax, tốc độ Wi-Fi lên đến1774,5Mbps trên 2 băng tần 2,4GHz (573,5Mbps) và 5GHz (1201Mbps)
Cổng USB 3.0 cho phép truyền dữ liệu siêu nhanh
Điều chế 1024-QAM cung cấp tốc độ truyền dữ liệu Wi-Fi mạnh mẽ, liên tục
Công nghệ TWT (Target Wake) tiết kiệm điện năng
Nút WPS tạo kết nối không dây an toàn và đơn giản
Hỗ trợ Windows 10 (32 / 64bits), Win8 / 8.1 (32 / 64bits), Windows 7 (32 / 64bits)",1,totolink,Under 1M,usb wifi 6
https://philong.com.vn,bộ phát wifi 6 tp-link archer ax23 ax1800,1500000,1500000 đ,0,Không có,"Wi-Fi siêu nhanh 1.8 Gbps – Tận hưởng truyền tải và tải xuống 4K mượt mà với tốc độ Wi-Fi siêu nhanh 1.8 Gbps
Kết nối nhiều thiết bị hơn – Giao tiếp với nhiều thiết bị hơn bằng OFDMA đồng thời giảm độ trễ
Vùng phủ sóng rộng hơn – Thuật toán cải tiến, beamforming và ăng-ten hiệu suất cao nâng cao hiệu suất phủ sóng Wi-Fi
Quyền Kiểm Soát Của Phụ Huynh – Tận hưởng tính năng quyền kiểm soát của phụ huynh miễn phí và linh hoạt bao gồm chặn URL, quản lý hồ sơ, tạm dừng",1,tp-link,1M to 5M,bộ phát wifi 6
https://philong.com.vn,giá đỡ tản nhiệt hyperstand folding aluminium htu6 màu bạc,730000,730000 đ,0,Không có,"Chất liệu: Alumium cao cấp.
Kích thước: 60 x 255mm ; 2,36” x 10”
Trọng lượng: 182g ; 6.42oz / 0.4lb
Tương thích: Macbook/Laptop từ 12 – 17inch.",1,hyperdrive,Under 1M,giá đỡ tản nhiệt hyperstand folding aluminium htu6 màu bạc
